id,name,moneycontrol_link,Score,Sr.no
532540,TATA CONSULTANCY SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,0.8191,1
500325,RELIANCE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,0.8135,2
500180,HDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,0.9794,3
500875,ITC LTD.,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,0.6597,4
500312,OIL AND NATURAL GAS CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilnaturalgascorporation/ONG,0.9914,5
500209,INFOSYS LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,0.9875,6
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF,0.9788,7
500112,STATE BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI,0.823,8
533278,COAL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11,-0.5267,9
500696,HINDUSTAN UNILEVER LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU,0.9978,10
530965,INDIAN OIL CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,0.802,11
532500,MARUTI SUZUKI INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/marutisuzukiindia/MS24,-0.8361,12
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,0.7096,13
532174,ICICI BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,-0.9601,14
500247,KOTAK MAHINDRA BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,0.9969,15
